RI,IFR,ICC,IANC
0,1.42,338.25,25.72
0,1.34,354.7,26.41
0,1.34,433.02,25.66
0,1.33,434.65,25.51
0,1.33,413.31,25.16
0,1.33,415.24,25.09
0,1.33,423.52,24.7
0,1.68,539.54,24.5
0,1.8,564.29,23.33
0,1.78,507.04,23.17
0,1.73,427.22,23.53
0,1.59,433.49,23.53
0,1.48,417.27,22.81
0,1.76,529.48,22.3
0,1.38,333.88,20.69
0,1.4,363.51,20.31
0,1.39,445.71,20.84
0,1.4,449.41,20.94
0,1.43,472.86,23.84
0,1.43,473.79,24.44
0,1.43,481.02,26.25
0,1.41,483.49,26.62
0,1.4,506.27,28.82
0,1.4,509.63,29.27
0,1.4,524.29,29.05
0,1.39,517.55,28.99
0,1.38,477.48,29.44
0,1.38,474.94,29.54
0,1.38,464.38,27.93
0,1.38,464.98,27.6
0,1.38,469.99,26.72
0,1.45,493.07,26.31
0,1.81,588.72,24.23
0,1.81,582.39,24
0,1.82,549.48,23.12
0,1.82,556.54,22.93
0,1.76,520.44,21.56
0,1.73,400.02,21.58
0,1.75,334.12,19.1
0,1.79,527.39,19.53
0,1.84,586.75,21.02
0,1.83,586.8,21.29
0,1.82,600.36,23.44
0,1.83,388.72,23.89
0,1.82,110.86,26.44
0,1.4,143.83,27.77
0,1.41,159.46,26.86
0.1,1.43,186.06,26.67
0.2,1.42,213.63,26.24
0.1,1.4,199.69,26.13
0.5,1.39,471.01,26.53
0.5,1.39,468.6,26.61
0.5,1.39,455.87,27.16
0.4,1.38,456.12,27.28
0.4,1.39,456.9,26.45
0.4,1.7,556.77,25.55
0.6,1.84,581.83,23.15
0.8,1.84,582.65,22.7
0.2,1.78,441.23,22.46
1.1,1.74,258.86,22.42
1.2,1.74,236.39,21.83
0.9,1.73,237.32,21.7
1.4,1.87,272.14,18.95
2.5,1.94,530.6,18.35
2.7,1.99,589.15,20.5
2.8,1.96,358.84,20.54
2.1,2,358.11,19.59
2,1.97,344.06,19.42
0.6,1.92,360.95,17.46
1.2,1.97,322.32,17.86
0.9,1.83,351.17,16.36
1.3,1.47,469,15.38
0.6,1.48,427.12,15.26
0.4,1.48,383.07,15.24
0.4,1.48,320.29,14.33
0,1.47,237.21,14.13
0.1,1.47,232,15.24
0,1.47,243.06,15.47
0,1.46,245.94,15.13
0,1.83,338.45,15.4
0,1.94,348.87,13.31
0,1.93,355.04,12.86
0,1.89,299.29,14.09
0,1.91,229.45,14.01
0,1.45,268.81,13.41
0,1.46,296,13.26
0,1.47,327.52,12.03
0,1.9,531.69,12.75
0,1.93,525.89,12.62
0,1.77,409.88,12.36
0,1.48,335.17,12.74
0,1.48,330.57,12.92
0,1.48,389.73,14.12
0,1.81,574.12,14.75
0,1.88,559.32,17.46
0,1.85,433.89,17.99
0,1.41,393.48,20.78
0,1.4,400.73,21.35
0,1.39,385.25,21.76
0,1.39,443.7,21.85
0,1.39,439.68,22.05
0,1.39,453.18,22.09
0,1.38,442.66,21.26
0,1.69,505.56,20.85
0,1.83,501.64,18.86
0,1.83,411.23,18.47
0,1.49,351.22,18.33
0,1.38,324.28,18.29
0,1.57,437.37,17.96
0,1.82,617.19,17.81
0,1.84,585.13,17.19
0,1.56,460.44,17.14
0,1.4,380.63,16.57
0,1.41,367.26,16.46
0,1.41,407.21,18.33
0,1.41,465.51,21.86
0,1.42,477.13,21.84
0,1.45,478.29,21.83
0,1.46,453.16,22.08
0,1.45,378.34,22.13
0,1.44,417.33,23.24
0,1.43,440.33,23.46
0,1.41,430.51,25.51
0,1.4,461.06,25.91
0,1.39,656.21,23.78
0,1.39,658.06,23.35
0,1.39,436.41,21.96
0,1.49,456.14,21.6
0,1.83,493.52,20.56
0,1.83,422.17,20.4
0,1.82,465.23,19.77
0,1.56,430.13,19.74
0,1.35,407.93,19.51
0,1.35,434.25,19.45
0,1.36,386.85,18.28
0,1.37,420.51,18.04
0,1.36,425.35,17.42
0,1.36,435.99,17.29
0,1.36,475.23,20.34
0,1.36,445.71,20.95
0,1.38,436.39,22.19
0,1.68,510.11,21.88
0,1.95,496.54,22.88
0,1.87,296.66,23.28
0,1.5,312.58,25.48
0,1.5,283,25.83
0,1.49,270.88,25.7
0,1.48,284.96,25.67
0,1.48,279.53,25.26
0,1.48,343.8,25.19
0,1.47,314.48,22.23
0,1.55,238.64,21.47
0,1.91,256.26,22.5
0,1.88,308.78,22.82
0,1.85,300.53,23.17
0,1.47,320.09,23.11
0,1.34,436.02,22.42
0,1.34,510.34,22.29
0,1.34,377.24,20.65
0,1.74,346.51,20.39
0,1.82,399.25,19.9
0,1.81,601.34,19.8
0,1.78,623.81,21.61
0,1.38,502.57,22.21
0,1.42,385.23,22.64
0,1.44,129.34,22.74
0,1.44,150.59,23.28
0,1.44,159.12,23.39
0,1.44,212.28,25.57
0,1.44,202.61,26
0,1.43,149.89,25.55
0,1.42,149.92,25.46
0,1.4,151.1,24.8
0,1.39,151.1,24.66
0,1.38,151.92,23.32
0,1.75,119.81,22.94
0,1.83,115.71,21.92
0,1.83,111.69,21.73
0,1.43,97.89,21.99
0,1.37,195.17,22.03
0,1.47,316.16,17.61
0,1.85,354.02,17.07
0,1.82,382.03,18.19
0,1.47,515.98,18.39
0,1.38,515.76,21.25
0,1.39,516.13,21.81
0,1.42,516.21,23.31
0,1.69,577.18,23.27
0,1.9,514.3,23.63
0,1.79,343.46,23.86
0,1.56,286.02,22.39
0,1.56,286.02,22.39
0,1.39,407.43,26.27
0,1.37,485.93,26.62
0,1.36,453.31,26.44
0,1.35,470.81,26.41
0,1.34,456.45,25.14
0,1.33,455.06,24.89
0,1.33,453.54,24.14
0,1.68,566.67,23.86
0,1.79,498.81,22.46
0,1.8,345.51,22.17
0,1.59,352.62,20.55
0,1.33,330.03,20.13
0,1.33,362.25,19.8
0,0.42,910.17,20.73
0,1.33,428.41,18.72
0,1.33,445.12,18.51
0,1.34,429.44,18.43
0,1.33,428.84,18.41
0,1.69,562.12,18.43
0,1.84,595.22,18.44
0,1.67,464.71,18.65
0,1.35,279.06,18.5
0,1.35,264.14,20.12
0,1.35,237.39,20.44
0,1.36,279.77,23.91
0,1.36,361.52,24.6
0,1.35,399.61,24.87
0,1.34,468.16,24.93
0,1.34,430.68,23.57
0,1.34,421.65,23.3
0,1.34,408.98,22.74
0,1.33,393.46,22.64
0,1.78,481.24,22.02
0,1.8,415.46,21.92
0,1.8,341.77,20.87
0,1.58,232.51,20.67
0,1.4,272.91,19.17
0,1.4,332.19,18.86
0,1.41,306.49,18.64
0,1.59,349.83,18.44
0,1.83,357.38,16.91
0,1.85,281.14,16.54
0,1.72,298.6,17.12
0,1.38,410.76,16.92
0,1.37,411.87,18.1
0,1.37,443.93,18.41
0,1.36,469.72,20.76
0,1.37,472.09,21.37
0,1.38,492.48,24.19
0,1.4,489.31,24.94
0,1.4,382.05,24.85
0,1.39,265.61,24.84
0,1.37,320.27,23.49
0,1.36,433.53,23.13
0,1.34,423.44,22.08
0,1.45,468.7,21.6
0,1.81,574.49,19.73
0,1.8,573.98,19.37
0,1.79,579.18,20.39
0,1.51,485.83,21.01
0,1.39,451.57,19.26
0,1.39,465.19,18.75
0,1.69,535.45,17.59
0,1.81,568.17,17.33
0,1.79,577.58,17.5
0,1.36,443.57,17.9
0,1.33,443.45,20.33
0,1.33,442.42,20.97
0,1.33,438.76,20.94
0,1.35,440.29,20.92
0,1.36,435.88,21.41
0,1.36,440.46,21.55
0,1.35,478.25,23.21
0,1.34,477.16,23.6
0,1.34,456.91,24.37
0,1.33,454.04,24.6
0,1.33,429.78,24.15
0,1.33,429.64,24.03
0,1.33,424.72,22.96
0,1.65,535.81,21.45
0,1.79,565.6,19.8
0,1.8,535.31,19.46
0,1.8,319.39,18.85
0,1.68,261.39,18.83
0,1.66,342.94,18.7
0,1.67,359.61,18.67
0,1.36,243.99,18.75
0,1.63,264.73,18.86
0,1.85,344.58,19.23
0,1.7,337.61,19.32
0,1.35,419.24,21.15
0,1.36,438.46,21.64
0,1.38,441.41,21.99
0,1.66,537.19,21.87
0,1.84,587.72,22.52
0,1.64,540.96,22.7
0,1.1,510.11,24.68
0,1.33,458.15,25.26
0,1.09,525.1,25.16
0,1.36,456.66,25.22
0,1.34,417.79,23.96
0,1.33,417.02,23.62
0,1.32,414.32,23.94
0,1.61,517.36,24.06
0,1.79,564.82,23.27
0,1.8,565.74,23.05
0,1.38,433.18,20.66
0,1.33,418.09,19.95
0,1.4,453.07,19.51
0,1.67,408.08,19.37
0,1.4,391.25,19.11
0,1.33,406.94,19.02
0,1.35,415.28,18.89
0,1.4,420.08,18.87
0,1.66,528.07,19.78
0,1.9,592.42,19.74
0,1.45,487.73,20.22
0,1.41,470.41,20.26
0,1.42,447.4,22.08
0,1.42,450.88,22.56
0,1.42,482.23,23.83
0,1.41,480.18,24.17
0,1.4,456.02,23.89
0,1.38,458.46,23.83
0,1.37,483.13,23.79
0,1.36,479.58,23.78
0,1.35,447.54,23
0,1.36,453.51,22.79
0,1.81,586.72,21.92
0,1.8,582.33,21.8
0,1.8,555.54,20.87
0,1.76,492.11,20.55
0,1.58,457.65,21.74
0,1.71,437.36,22.07
0,1.77,471.82,21.12
0,1.8,579.33,21.1
0,1.79,588.85,20.01
0,1.71,453.02,18.92
0,1.52,431.84,20.91
0,1.34,461.77,21.53
0,1.35,453.54,21.56
0,1.35,455.86,21.56
0,1.34,474.61,25.02
0,1.34,473.5,25.92
0,1.33,475.13,27.34
0,1.33,472.94,27.71
0,1.33,452.13,27.26
0,1.33,450.25,27.15
0,1.33,434.96,26.24
0,1.33,433.92,26
0,1.32,423.39,24.95
0,1.51,493.85,24.71
0,1.79,563.8,23.77
0,1.79,567.85,23.52
0,1.78,468.06,22.76
0,1.75,351.07,22.07
0,1.46,311.68,21.24
0,1.37,320.39,21.2
0,1.37,417.74,20.33
0,1.7,547.82,20.54
0,1.84,527.42,22.04
0,1.87,520.35,22.41
0,1.85,314.78,24.36
0,1.42,269.26,24.88
0,1.44,387.06,24.47
0,1.45,399.24,24.36
0,1.45,454.16,25.27
0,1.45,473.08,25.5
0,1.43,521.23,27.51
0,1.41,518.04,28.04
0,1.4,508.3,25.58
0,1.4,506.07,24.91
0,1.4,493.08,25.88
0,1.39,486.7,26.12
0,1.38,459.51,24.75
0,1.72,563.31,24.46
0,1.83,588.86,23.27
0,1.83,587.18,22.96
0,1.75,408.13,23.61
0,1.58,342.98,23.93
0,1.37,379.68,21.64
0,1.38,368.84,21.08
0,1.5,447.67,21.42
0,1.9,576.5,21.48
0,1.87,553.82,19.03
0,1.83,549.79,18.37
0,1.42,461.81,22.78
0,1.42,461.71,23.67
0,1.42,497.67,24.34
0,1.42,501.85,24.53
0,1.85,630.05,25.94
0,1.72,622.97,26.41
0,1.41,519.88,28.47
0,1.41,514.75,28.88
0,1.4,476.55,27.42
0,1.39,473.87,27.04
0,1.39,458.48,24.86
0,1.39,457.85,24.31
0,1.4,456.41,23.16
0,1.65,538.52,22.73
0,1.83,587.13,22.73
0,1.83,548.19,22.75
0,1.78,331.18,22.28
0,1.61,274.95,22.32
0,1.56,280.55,20.96
0,1.36,273.31,20.31
0,1.38,415.32,20.12
0,1.39,438.31,20.09
0,1.4,447.07,19.69
0,1.44,449.49,19.59
0,1.43,473.38,22.13
0,1.51,505.3,22.78
0,1.88,642.6,22.82
0,1.86,632.73,22.87
0,1.44,475.96,23.95
0,1.44,478.33,24.16
0,1.42,501.39,26.18
0,1.41,497.83,26.7
0,1.4,465.28,27.14
0,1.4,461.89,27.26
0,1.39,448.42,24.72
0,1.39,448.92,24.06
0,1.39,452.63,24.12
0,1.45,474.53,24.04
0,1.82,291.19,22.43
0,1.82,261.21,22.15
0,1.82,209.11,20.6
0,1.41,187.16,20.02
0,1.36,180.43,20.13
0,1.8,170.12,20.3
0,1.83,129.27,20.34
0,1.49,132.05,20.17
0,1.38,161.21,20.37
0,1.82,146.65,20.57
0,1.82,153.5,21.94
0,1.55,215.41,22.6
0,1.4,308.44,23.61
0,1.4,308.61,23.82
0,1.72,538,25.1
0,1.85,570.32,25.41
0,1.59,543.01,26.47
0,1.39,489.96,26.97
0,1.39,507.83,26.85
0,1.39,503.25,26.82
0,1.39,467.38,24.33
0,1.39,465.72,23.69
0,1.38,444,22.46
0,1.6,519.35,21.91
0,1.82,568.34,21.23
0,1.82,521.73,21.11
0,1.82,590.13,47.48
0,1.68,752.18,28.84
0,1.63,607.99,30.2
0,1.71,239.77,23.27
0,1.73,234.81,18.7
0,1.84,300.74,19.87
0,1.86,280.43,21.55
0,1.89,222.16,21.98
0,1.74,216.39,20.61
0,1.74,240.64,20.78
0,1.73,226.87,22.15
0,1.43,258.09,22.06
0,1.4,283.42,23.79
0,1.4,309.47,24.27
0,1.41,351.09,25.99
0,1.41,335.71,26.43
0,1.4,285.26,26.01
0,1.39,321.47,25.89
0,1.38,356.5,25.45
0,1.36,359.49,25.34
0,1.35,366.13,24.49
0,1.73,473.01,24.28
0,1.84,492.61,22.91
0,1.83,416.75,22.56
0,1.67,361.88,22.24
0,1.62,321.24,21.6
0,1.68,317.31,20.76
0,1.45,281,20.61
0,1.4,273.65,20.57
0,1.41,332.1,20.55
0,1.4,338.16,21.6
0,1.56,383.89,21.89
0,1.85,538.55,20.79
0,1.85,560.68,20.5
0,1.75,409.32,24.51
0,1.71,310.96,25.26
0,1.41,361.56,26.41
0,1.41,413.99,26.74
0,1.4,427.84,26.18
0,1.4,424.75,26.03
0,1.39,416.04,26
0,1.38,403.75,25.99
0,1.39,406.07,24.01
0,1.39,391.49,23.5
0,1.38,379.14,24.88
0,1.67,430.05,24.94
0,1.83,442.6,23.12
0,1.82,395.27,22.69
0,1.82,379.99,22.3
0,1.77,383.35,22.2
0,1.38,327.55,20.18
0,1.38,397.9,19.67
0,1.56,486.6,18.43
0,1.82,477.78,18.16
0,1.82,453.08,17.57
0,1.67,420.05,17.71
0,1.37,365.67,21.91
0,1.4,389.61,22.8
0,1.47,405.46,25.13
0,1.93,358.8,25.4
0,1.92,272.44,25.67
0,1.92,363.17,25.74
0,1.59,394.95,24.85
0,1.42,383.96,25.31
0,1.41,382.96,26.18
0,1.4,431.6,26.42
0,1.39,455.18,22.74
0,1.39,435.76,21.79
0,1.38,426.6,23.97
0,1.48,476.42,24.44
0,1.84,582.27,22.79
0,1.82,493.8,22.43
0,1.8,448.44,22.26
0,1.78,414.15,22.18
0,1.72,312.87,20.45
0,1.71,260.1,20.05
0,1.72,238.98,20.01
0,1.71,305.93,20
0,1.72,451.99,21.89
0,1.78,590.33,22.64
0,1.79,629.8,23.22
0,1.54,555.91,23.06
0,1.37,468.74,23.76
0,1.4,446.84,24
0,1.41,481.43,25.65
0,1.42,434.51,26.06
0,1.42,368.96,27.65
0,1.41,414.57,28.05
0,1.4,432.07,23.92
0,1.39,436.09,22.87
0,1.37,451.4,24.93
0,1.36,451.37,25.46
0,1.34,447.81,25.88
0,1.57,526.97,25.54
0,1.81,583.46,23.95
0,1.8,578.7,23.65
0,1.78,437.87,23
0,1.65,281.04,22.78
0,1.62,257.01,21.75
0,1.65,227.84,21.42
0,1.63,286.49,20.66
0,1.78,585.73,20.99
0,1.8,594.86,19.96
0,1.81,600.16,19.69
0,1.82,608.06,23.21
0,1.77,552.31,24.13
0,1.68,415.49,25.82
0,1.52,423.29,26.17
0,1.36,452.74,26.44
0,1.37,505.5,26.53
0,1.36,502.55,27.33
0,1.35,489.25,27.53
0,1.34,475.21,27.06
0,1.33,463.55,26.94
0,1.33,456.74,27.32
0,1.33,451.27,27.41
0,1.42,483.78,25.87
0,1.78,589.28,25.06
0,1.79,588.72,23.56
0,1.8,588.49,23.18
0,1.74,440.95,22.49
0,1.63,295.98,22.3
0,1.55,280.91,21.86
0,1.32,284.47,21.69
0,1.32,319.27,20.97
0,1.32,417.52,20.79
0,1.69,571.62,21.18
0,1.82,616.78,21.22
0,1.84,551.12,22.52
0,1.82,387.6,22.98
0,1.69,328.42,25.83
0,1.69,373.32,26.27
0,1.42,461.83,25.48
0,1.4,513.84,25.34
0,1.41,437.61,26.6
0,1.41,298.65,26.92
0,1.4,356.37,26.97
0,1.39,478.47,26.98
0,1.37,459.86,25.4
0,1.37,444.71,25.04
0,1.37,436.81,26.08
0,1.72,546.18,25.81
0,1.82,577.5,24.45
0,1.81,576.84,24.15
0,1.1,563.41,23.02
0,0.96,540.65,22.63
0,1.1,509.03,22.22
0,1.33,468.74,22.1
0,1.33,444.16,20.29
